"AU","TI","PY","DE"
"SCHANDING GT;STRAIT GG;MORGAN VR;SHORT RJ;ENDERWITZ M;BABU J;TEMPLETON MA","WHO'S INCLUDED? DIVERSITY, EQUITY, AND INCLUSION OF STUDENTS IN SCHOOL PSYCHOLOGY LITERATURE OVER THE LAST DECADE",2022,"SOCIAL JUSTICE; DIVERSE STUDENTS; EQUITY; INCLUSION"
"BAKER S;FIELD R;BURKE R;HARTLEY L;FLEAY C","DISCURSIVE CONSTRUCTIONS OF EQUITY IN AUSTRALIAN HIGHER EDUCATION: IMAGINED WORLDS AND THE CASE OF PEOPLE SEEKING ASYLUM",2021,"EQUITY IN HIGHER EDUCATION; PEOPLE SEEKING ASYLUM; CRITICAL DISCOURSE ANALYSIS; AUSTRALIA"
"SOLIS M","RACIAL EQUITY IN PLANNING ORGANIZATIONS",2020,"DEPARTMENTS; EQUITY; ORGANIZATIONS; PLANNERS; RACE"
"BIRDSALL S;WHITE P","PARTICIPATING IN RESEARCH SYMPOSIA: TALES OF REINSCRIPTION, DISRUPTION, AND INCLUSIVITY",2017,"ENVIRONMENTAL EDUCATION; POWER; EQUITY; RESEARCH SYMPOSIA; REINSCRIBING AND DISRUPTING THE FIELD; INCLUSIVITY"
"VALDEZ VE;DELAVAN G;FREIRE JA","THE MARKETING OF DUAL LANGUAGE EDUCATION POLICY IN UTAH PRINT MEDIA",2016,"DUAL LANGUAGE IMMERSION; BILINGUAL EDUCATION; EDUCATIONAL EQUITY; CRITICAL LANGUAGE POLICY AND PLANNING; CRITICAL DISCOURSE; PRINT MEDIA; CONTENT ANALYSIS"
"CALLAHAN R;GAUTSCH L;HOPKINS M;UNDA MD","EQUITY AND STATE IMMIGRANT INCLUSIVITY: ENGLISH LEARNER EDUCATION IN ESSA",2022,"ENGLISH LANGUAGE LEARNERS; LANGUAGE POLICY; STATE POLICIES; EDUCATIONAL EQUITY; IMMIGRANT POLICY; ESSA; EVERY STUDENT SUCCEEDS ACT"
"BAKER DM","INCLUSION AND EXCLUSION IN ESTABLISHING THE DELMAR LOOP TRANSIT-ORIENTED DEVELOPMENT SITE",2022,"TRANSIT-ORIENTED DEVELOPMENT; PARTICIPATION AND ENGAGEMENT; PLACE-MAKING; INCLUSION; EXCLUSION"
"FRANKENBERG E;MCDERMOTT KA;DEBRAY E;BLANKENSHIP AE","THE NEW POLITICS OF DIVERSITY: LESSONS FROM A FEDERAL TECHNICAL ASSISTANCE GRANT",2015,"DIVERSITY; EQUITY; RACE; POLITICS; INTEGRATION"
"WHITE C;CONWAY JM;DAVIS PK;JOHNSON-FANNIN AM;JURKAS JG;MURPHY NL;SMITH WT;ECHEVERRI M;YOUMANS SL;OWINGS KC;ADAMS JL","AACP SPECIAL TASKFORCE WHITE PAPER ON DIVERSIFYING OUR INVESTMENT IN HUMAN CAPITAL",2017,"DIVERSITY; HUMAN CAPITAL; INCLUSION; HEALTH EQUITY; RECRUITMENT"
"BUENESTADO-FERNANDEZ M;ALVAREZ-CASTILLO JL;GONZALEZ-GONZALEZ H;ESPINO-DIAZ L","EVALUATING THE INSTITUTIONALISATION OF DIVERSITY OUTREACH IN TOP UNIVERSITIES WORLDWIDE",2019,NA
"GUNDER M","COMMENTARY: IS URBAN DESIGN STILL URBAN PLANNING? AN EXPLORATION AND RESPONSE",2011,"DESIGN; NEOLIBERALISM; NEW URBANISM; CITY-BUILDING; PLANNING VALUES"
"KIZILCEC RF;SALTARELLI AJ","PSYCHOLOGICALLY INCLUSIVE DESIGN CUES IMPACT WOMEN'S PARTICIPATION IN STEM EDUCATION",2019,"EDUCATION; SOCIAL PSYCHOLOGY; DESIGN; DIVERSITY; INCLUSION; EQUALITY"
"MOSHIRI F;CARDON PW","BEST PRACTICES TO INCREASE RACIAL DIVERSITY IN BUSINESS SCHOOLS: WHAT ACTUALLY WORKS ACCORDING TO A NATIONWIDE SURVEY OF BUSINESS SCHOOLS",2019,"RACIAL DIVERSITY; URM; BUSINESS SCHOOLS; BEST PRACTICES; FACULTY DIVERSITY"
"BRICOUT J;BAKER PMA;MOON NW;SHARMA B","EXPLORING THE SMART FUTURE OF PARTICIPATION: COMMUNITY, INCLUSIVITY, AND PEOPLE WITH DISABILITIES",2021,"COVID-19; DESIGN; DISABILITY; PARTICIPATION; SMART CITY; SMART COMMUNITY; TECHNOLOGY; VIRTUAL"
"ORAZALIN N","BOARD GENDER DIVERSITY, CORPORATE GOVERNANCE, AND EARNINGS MANAGEMENT EVIDENCE FROM AN EMERGING MARKET",2019,"CORPORATE GOVERNANCE; EMERGING MARKETS; EARNINGS MANAGEMENT; BOARD GENDER DIVERSITY; KAZAKHSTAN"
"FRENCH E;STRACHAN G","EQUAL OPPORTUNITY OUTCOMES FOR WOMEN IN THE FINANCE INDUSTRY IN AUSTRALIA: EVALUATING THE MERIT OF EEO PLANS",2007,"EQUAL EMPLOYMENT OPPORTUNITY; FINANCE INDUSTRY; HUMAN RESOURCE MANAGEMENT; MANAGING DIVERSITY; WOMEN IN MANAGEMENT"
"CHALAMANDARIS G","ASSESSING THE RELEVANCE OF AN INFORMATION SOURCE TO TRADING FROM AN ADAPTIVE-MARKETS HYPOTHESIS PERSPECTIVE",2020,"ADAPTIVE MARKETS HYPOTHESIS; FINANCIAL STATEMENT; BAYESIAN MODEL AVERAGING; CDS"
"STEIL JP;DELGADO LH","LIMITS OF DIVERSITY: JANE JACOBS, THE JUST CITY, AND ANTI-SUBORDINATION",2019,"DIVERSITY; DISCRIMINATION; ANTI-SUBORDINATION; BUILT ENVIRONMENT; JUST CITY; SOCIAL EQUITY"
"WISMAN RA","OPERATIONALIZING THE INTERSECTION OF RACIAL AND SOCIOECONOMIC DIVERSITY IN PREDICTING SCHOOL-LEVEL ACADEMIC ACHIEVEMENT",2020,"DIVERSITY; DESEGREGATION; RACE; SOCIOECONOMIC STATUS; STUDENT ASSIGNMENT PLAN"
"ALMER ED;HARRIS MK;HIGGS JL;RAKESTRAW JR","PARTNER GENDER DIFFERENCES IN PRESTIGE OF CLIENTS SERVED AT THE LARGEST US AUDIT FIRMS",2021,"FEMALE PARTNERS; DIVERSITY; GENDER EQUITY; CLIENT PRESTIGE"
"DE SIQUEIRA LP;TEDESCO AM;MELI P;DIEDERICHSEN A;BRANCALION PHS","GENDER INCLUSION IN ECOLOGICAL RESTORATION",2021,"GENDER ANALYSIS; GENDER BALANCE; GENDER EQUALITY; GENDER EQUITY; RESTORATION GOVERNANCE; SUSTAINABLE DEVELOPMENT GOALS; UN DECADE ON ECOSYSTEM RESTORATION"
"HUERTA MES;MIGUS LH","CREATING EQUITABLE ECOLOGIES: BROADENING ACCESS THROUGH MULTILINGUALISM",2015,"MULTILINGUALISM; EQUITY; CULTURAL AND LINGUISTIC DIVERSITY; MUSEUMS; EXHIBIT DESIGN; EDUCATIONAL PROGRAMMING"
"ATHANASES SZ;LARRABEE TG","TOWARD A CONSISTENT STANCE IN TEACHING FOR EQUITY: LEARNING TO ADVOCATE FOR LESBIAN- AND GAY-IDENTIFIED YOUTH",2003,"EDUCATIONAL EQUITY; GAY AND LESBIAN; TEACHER EDUCATION; SOCIAL JUSTICE"
"TOMLINSON CA","TEACHING FOR EXCELLENCE IN ACADEMICALLY DIVERSE CLASSROOMS",2015,"DIFFERENTIATION; HETEROGENEOUS GROUPING; ACADEMIC DIVERSITY; EQUITY; EXCELLENCE"
"TALEN E;KOSCHINSKY J","IS SUBSIDIZED HOUSING IN SUSTAINABLE NEIGHBORHOODS? EVIDENCE FROM CHICAGO",2011,"LOW-INCOME HOUSING; SUSTAINABILITY; LOCATION; NEIGHBORHOOD; URBAN PLANNING"
"GREGORY A;OSHER D;BEAR GG;JAGERS RJ;SPRAGUE JR","GOOD INTENTIONS ARE NOT ENOUGH: CENTERING EQUITY IN SCHOOL DISCIPLINE REFORM",2021,"SOCIAL JUSTICE; SCHOOL DISCIPLINE; POSITIVE BEHAVIOR SUPPORT; DIVERSITY; RESTORATIVE PRACTICES; SCHOOL-WIDE POSITIVE BEHAVIORAL INTERVENTIONS AND SUPPORTS; SOCIAL EMOTIONAL LEARNING; SHANE JIMERSON"
"LUKE A;DOOLEY K;WOODS A","COMPREHENSION AND CONTENT: PLANNING LITERACY IN LOW SOCIOECONOMIC AND CULTURALLY DIVERSE SCHOOLS",2011,"LITERACY; COMPREHENSION; CULTURAL DIVERSITY; LOW SOCIOECONOMIC SCHOOLS"
"MAGGIN DM;COLLINS TA;FOSTER JA;SCOTT MN;MOSSING KW;DORSEY CM","FACULTY PERSPECTIVES ON THE RECRUITMENT, RETENTION, AND PREPARATION OF SPECIAL EDUCATION DOCTORAL STUDENTS OF COLOR",2022,"DIVERSITY; TEACHER PREPARATION PRACTICES AND OUTCOMES; TEACHER PREPARATION PARTICIPANT CHARACTERISTICS; EQUITY; TEACHER PREPARATION POLICY; SERVICE DELIVERY; RECRUITMENT; RETENTION"
"CARNES M;DEVINE PG;ISAAC C;MANWELL LB;FORD CE;BYARS-WINSTON A;FINE E;SHERIDAN J","PROMOTING INSTITUTIONAL CHANGE THROUGH BIAS LITERACY",2012,"GENDER BIAS; FACULTY; STEM; INTERVENTION STUDIES; PREJUDICE; ACADEMIC MEDICAL CENTERS"
"HERNANDEZ F;MARSHALL J","AUDITING INEQUITY: TEACHING ASPIRING ADMINISTRATORS TO BE SOCIAL JUSTICE LEADERS",2017,"SOCIAL JUSTICE; EDUCATIONAL LEADERS; PRINCIPALS; EQUITY AUDITS"
"PATTON MQ","HOW FAR DARE AN EVALUATOR GO TOWARD SAVING THE WORLD?: REDUX, UPDATE, AND A REFLECTIVE PRACTICE FACILITATION TOOL",2021,"VALUES; ADVOCACY; EQUITY; SUSTAINABILITY; DIVERSITY"
"MANN VVS;MANN PK","QUALITY, COMPETITION AND OPTIMAL FINANCING OF A VENTURE ENTERPRISE IN INFORMATION ENTROPY BACKDROP: THE PECUNIARY DYNAMICS OF ADVANTAGE",2008,"ABSOLUTE QUALITY; RELATIVE QUALITY; COMPETITION; FIRM ASSETS; DIVIDEND; EQUITY; COST RETURN OF QUALITY; PRINCIPAL-AGENT PARADOX; EFFORT LEVEL; BLAU'S INDEX OF DIVERSITY; INFORMATION ENTROPY"
"LAWRENCE RJ","INEQUALITIES IN URBAN AREAS: INNOVATIVE APPROACHES TO COMPLEX ISSUES",2002,"ECOLOGICAL PERSPECTIVE; EQUITY; HOUSING; INEQUALITIES; PUBLIC HEALTH; URBAN PLANNING"
"TAECHARUNGROJ V;MATHAYOMCHAN B","THE BIG PICTURE OF CITIES: ANALYSING FLICKR PHOTOS OF 222 CITIES WORLDWIDE",2020,NA
"LANG R;SCHNEIDER M;KETT M;COLE E;GROCE N","POLICY DEVELOPMENT: AN ANALYSIS OF DISABILITY INCLUSION IN A SELECTION OF AFRICAN UNION POLICIES",2019,"AFRICA; DISABILITY; IMPLEMENTATION; INTERNATIONAL DEVELOPMENT; PARTICIPATION; POVERTY ERADICATION; PUBLIC POVERTY; SDGS"
"D'AMATO M;BILOZOR A;RENIGIER-BILOZOR M","SPATIAL APPROACH TO RISK PREMIUM DETERMINATION FOR RESIDENTIAL MARKET CLASSIFICATION",2017,"GEOSPATIAL ANALYSIS; SPATIAL DIVERSITY; URBAN AREAS; SPATIAL DISTRIBUTION OF MARKET RISK; PROPERTY VALUATION"
"HAGHPARAST-BIDGOLI H;SKORDIS J;HARRIS-FRY H;KRISHNAN S;O'HEARN M;KUMAR A;PRADHAN R;MISHRA NK;UPADHYAY A;PRADHAN S;OJHA AK;CUNNINGHAM S;RATH S;PALMER T;KONIZ-BOOHER P;KADIYALA S","PROTOCOL FOR THE COST-CONSEQUENCE AND EQUITY IMPACT ANALYSES OF A CLUSTER RANDOMISED CONTROLLED TRIAL COMPARING THREE VARIANTS OF A NUTRITION-SENSITIVE AGRICULTURAL EXTENSION INTERVENTION TO IMPROVE MATERNAL AND CHILD DIETARY DIVERSITY AND NUTRITIONAL STATUS IN RURAL ODISHA, INDIA (UPAVAN TRIAL)",2019,"COST-CONSEQUENCE ANALYSIS; NUTRITION-SENSITIVE AGRICULTURE; PARTICIPATORY LEARNING AND ACTION; WOMEN'S GROUPS; DIETARY DIVERSITY; MATERNAL AND CHILD NUTRITION; INDIA"
"KOLOTOUCHKINA O;SEISDEDOS G","THE URBAN CULTURAL APPEAL MATRIX: IDENTIFYING KEY ELEMENTS OF THE CULTURAL CITY BRAND PROFILE USING THE EXAMPLE OF MADRID",2016,"CITY BRAND; URBAN CULTURE; URBAN CULTURAL APPEAL MATRIX; MADRID"
"KALFAGIANNI A;MEISCH S","EPISTEMOLOGICAL AND ETHICAL UNDERSTANDINGS OF ACCESS AND ALLOCATION IN EARTH SYSTEM GOVERNANCE: A 10-YEAR REVIEW OF THE LITERATURE",2020,"ACCESS AND ALLOCATION; EARTH SYSTEM GOVERNANCE; HARVESTING; JUSTICE"
"VAN SPALL HGC;LALA A;DEERING TF;CASADEI B;ZANNAD F;KAUL P;MEHRAN R;PEARSON GD;SHAH MR;GULATI M;GRINES C;VOLGMAN AS;REVKIN JH;PINA I;LAM CSP;HOCHMAN JS;SIMON T;WALSH MN;BOZKURT B","ENDING GENDER INEQUALITY IN CARDIOVASCULAR CLINICAL TRIAL LEADERSHIP JACC REVIEW TOPIC OF THE WEEK",2021,"DISPARITIES; EQUITY; GENDER; LEADERSHIP; PRINCIPAL INVESTIGATOR; STEERING COMMITTEE; CLINICAL TRIAL"
"SMITH CS;SCHWIETERMAN JP","USING MULTIVARIATE ADAPTIVE REGRESSION SPLINING (MARS) TO IDENTIFY FACTORS AFFECTING THE PERFORMANCE OF DOCK-BASED BIKESHARING: THE CASE OF CHICAGO'S DIVVY SYSTEM",2021,"BIKESHARE; ACTIVE TRANSPORTATION; TRANSPORTATION PLANNING; SOCIAL EQUITY; MULTIVARIATE ADAPTIVE REGRESSION SPLINES"
"MOSS-RACUSIN CA;PIETRI ES;HENNES EP;DOVIDIO JF;BRESCOLL VL;ROUSSOS G;HANDELSMAN J","REDUCING STEM GENDER BIAS WITH VIDS (VIDEO INTERVENTIONS FOR DIVERSITY IN STEM)",2018,"DIVERSITY INTERVENTION; GENDER BIAS; GENDER GAP; STEM"
"HERRIN J;HARRIS KG;SPATZ E;COBBS-LOMAX D;ALLEN S;LEON T","HOSPITAL LEADERSHIP DIVERSITY AND STRATEGIES TO ADVANCE HEALTH EQUITY",2018,NA
"CEREZO A","EXPANDING THE REACH OF LATINX PSYCHOLOGY: HONORING THE LIVED EXPERIENCES OF SEXUAL AND GENDER DIVERSE LATINXS",2020,"SEXUAL DIVERSITY; GENDER DIVERSITY; LATINX; INTERSECTIONALITY; EQUITY"
"ZANNELLA M;PRINCIPI A;LUCANTONI D;BARBABELLA F;DI ROSA M;DOMINGUEZ-RODRIGUEZ A;SOCCI M","ACTIVE AGEING: THE NEED TO ADDRESS SUB-NATIONAL DIVERSITY. AN EVIDENCE-BASED APPROACH FOR ITALY",2021,"ACTIVE AGEING; ACTIVE AGEING INDEX; DEMOGRAPHIC DYNAMICS; REGIONAL STUDIES; GENDER; EVIDENCE-BASED POLICY; EQUITY; SUSTAINABILITY"
"HYPOLITE LI;STEWART AM","A CRITICAL DISCOURSE ANALYSIS OF INSTITUTIONAL RESPONSES TO THE 2016 US PRESIDENTIAL ELECTION",2021,"DISCOURSE; INSTITUTIONAL RESPONSES; PRESIDENTIAL ELECTION; UNIVERSITY LEADERSHIP"
"TALEN E","SPRAWL RETROFIT: SUSTAINABLE URBAN FORM IN UNSUSTAINABLE PLACES",2011,NA
"LUNDEBJERG NE;MEDINA-WALPOLE AM","FUTURE FORWARD: AGS INITIATIVE ADDRESSING INTERSECTION OF STRUCTURAL RACISM AND AGEISM IN HEALTH CARE",2021,"AGEISM; DIVERSITY; EQUITY; GERIATRICS; RACISM"
"UZENDU AI;BOUDOULAS KD;CAPERS Q","BLACK LIVES MATTER HORIZONTAL ELLIPSIS IN THE CATH LAB, TOO! A PROPOSAL FOR THE INTERVENTIONAL CARDIOLOGY COMMUNITY TO COUNTERACT BIAS AND RACISM",2022,"DISPARITIES; EQUITY; INJUSTICE; PREJUDICE"
"JAFINO BA;KWAKKEL JH","A NOVEL CONCURRENT APPROACH FOR MULTICLASS SCENARIO DISCOVERY USING MULTIVARIATE REGRESSION TREES: EXPLORING SPATIAL INEQUALITY PATTERNS IN THE VIETNAM MEKONG DELTA UNDER UNCERTAINTY",2021,"MODEL-BASED DECISION SUPPORT; FAIRNESS; ADAPTATION; DEEP UNCERTAINTY; EQUITY"
"ZHANG ZF;WANG MW;XU Z;YE YM;CHEN SN;PAN YJ;CHEN JQ","THE INFLUENCE OF COMMUNITY SPORTS PARKS ON RESIDENTS' SUBJECTIVE WELL-BEING: A CASE STUDY OF ZHUHAI CITY, CHINA",2021,"COMMUNITY SPORTS PARKS; SUBJECTIVE WELL-BEING; COMPOUND FUNCTION; SOCIAL FAIRNESS; LIVING ENVIRONMENT"
"VARELAS M;TUCKER-RAYMOND E;RICHARDS K","A STRUCTURE-AGENCY PERSPECTIVE ON YOUNG CHILDREN'S ENGAGEMENT IN SCHOOL SCIENCE: CARLOS'S PERFORMANCE AND NARRATIVE",2015,"DIVERSITY; EQUITY; LANGUAGE AND LITERACY; LEARNING COMMUNITIES; SOCIAL CONSTRUCTION"
"CIMINI R","THE EFFECT OF FEMALE PRESENCE ON CORPORATE BOARDS OF DIRECTORS ON THE VALUE RELEVANCE OF ACCOUNTING AMOUNTS: EMPIRICAL EVIDENCE FROM THE EUROPEAN UNION",2022,"ACCOUNTING; EUROPEAN UNION; FEMALE PRESENCE; VALUE RELEVANCE"
"BARDEKJIAN AC;NESBITT L;KONIJNENDIJK CC;LOTTER BT","WOMEN IN URBAN FORESTRY AND ARBORICULTURE: EXPERIENCES, BARRIERS AND STRATEGIES FOR LEADERSHIP",2019,"CAREER DEVELOPMENT; DISCRIMINATION; DIVERSITY; GENDER; INCLUSION; LABOUR; NATURAL RESOURCE MANAGEMENT"
"LEPOFSKY D;HECKELSMILLER C;FERNANDEZ-LLAMAZARES A;WALL J","SEEKING A MORE ETHICAL FUTURE FOR ETHNOBIOLOGY PUBLISHING: A 40-YEAR PERSPECTIVE FROM JOURNAL OF ETHNOBIOLOGY",2021,"ETHICAL PUBLISHING; OPEN ACCESS; ETHNOBIOLOGY; PLAN S; HYBRID JOURNALS; RESEARCH EQUITY"
