id,role,channel,date,ts,thread_ts,subtype,reactions,word_count,has_mention,has_url,active,mentions
User_0438,Member,translation_offered,2020-06-15 02:45:43.300700,1592203543.3007,1591685999.269200,,[],9,False,False,True,
User_0002,Leadership,translation_offered,2020-04-01 05:28:55.137000,1585733335.137,1585400294.091600,,[],7,True,False,True,"User_0125,User_0061,User_0179"
User_0328,Member,translation_offered,2020-04-01 05:52:50.137900,1585734770.1379,1585734770.137900,,"[{""name"": ""+1"", ""users"": [""User_0236"", ""User_0115""], ""count"": 2}]",8,False,False,True,
User_0072,Member,translation_offered,2020-04-01 06:58:44.138000,1585738724.138,1585734770.137900,,[],7,True,False,True,User_0283
User_0179,Member,translation_offered,2020-04-01 07:11:40.138200,1585739500.1382,1585573031.113900,,[],75,True,False,True,"User_0125,User_0012,User_0061"
User_0102,Leadership,translation_offered,2020-04-01 08:36:06.138800,1585744566.1388,1585734770.137900,,[],30,True,True,True,"User_0328,User_0283"
User_0324,Member,translation_offered,2020-04-02 02:36:03.142100,1585809363.1421,1585809363.142100,,"[{""name"": ""+1"", ""users"": [""User_0003""], ""count"": 1}]",9,True,False,True,User_0122
User_0102,Leadership,translation_offered,2020-04-02 02:41:54.142200,1585809714.1422,1585809363.142100,,[],22,True,True,True,User_0324
User_0324,Member,translation_offered,2020-04-02 02:45:57.143200,1585809957.1432,1585809363.142100,,[],8,True,False,True,User_0102
User_0303,Member,translation_offered,2020-05-16 07:33:01.262900,1589628781.2629,1588313132.254100,,[],31,False,False,True,
User_0194,Member,translation_offered,2020-05-16 09:01:57.263100,1589634117.2631,1586993711.229700,,[],51,False,False,True,
User_0194,Member,translation_offered,2020-05-16 09:12:03.263500,1589634723.2635,1588313132.254100,,[],46,False,False,True,
User_0375,Member,translation_offered,2020-04-18 11:42:30.236300,1587224550.2363,1586993711.229700,,[],62,True,False,True,User_0303
User_0375,Member,translation_offered,2020-04-18 11:48:41.236600,1587224921.2366,1586993711.229700,,[],7,False,False,True,
User_0375,Member,translation_offered,2020-04-18 11:52:15.237400,1587225135.2374,1586993711.229700,,[],9,True,False,True,User_0102
User_0102,Leadership,translation_offered,2020-04-18 21:14:15.237700,1587258855.2377,1586993711.229700,,[],47,True,False,True,"User_0375,User_0303"
User_0060,Leadership,translation_offered,2020-03-26 17:16:38.000200,1585257398.0002,,channel_join,[],5,True,False,True,User_0060
User_0060,Leadership,translation_offered,2020-03-26 17:17:51.001700,1585257471.0017,,,[],46,False,False,True,
User_0141,Member,translation_offered,2020-03-26 17:19:11.001900,1585257551.0019,,channel_join,[],5,True,False,True,User_0141
User_0141,Member,translation_offered,2020-03-26 17:23:07.004100,1585257787.0041,1585257787.004100,,"[{""name"": ""pray"", ""users"": [""User_0060""], ""count"": 1}]",23,False,False,True,
User_0074,Member,translation_offered,2020-03-27 02:12:06.000200,1585289526.0002,,channel_join,[],5,True,False,True,User_0074
User_0203,Leadership,translation_offered,2020-04-06 04:01:41.168500,1586160101.1685,,,[],16,False,False,True,
User_0125,Member,translation_offered,2020-04-06 09:48:29.169500,1586180909.1695,1585573031.113900,,[],5,True,False,True,User_0021
User_0002,Leadership,translation_offered,2020-04-06 10:08:53.170400,1586182133.1704,1586182091.170000,,[],2,False,False,True,
User_0125,Member,translation_offered,2020-04-06 10:09:45.171400,1586182185.1714,1586182185.171400,,[],10,True,False,True,User_0021
User_0002,Leadership,translation_offered,2020-04-06 10:10:09.171600,1586182209.1716,1586182185.171400,,[],1,False,False,True,
User_0125,Member,translation_offered,2020-04-06 10:10:53.172300,1586182253.1723,1586182185.171400,,[],2,True,False,True,User_0002
User_0315,Member,translation_offered,2020-03-30 05:01:54.102800,1585558914.1028,,,[],5,True,False,True,User_0308
User_0308,Member,translation_offered,2020-03-30 05:14:21.103100,1585559661.1031,,,[],2,False,False,True,
User_0315,Member,translation_offered,2020-03-30 05:15:13.103700,1585559713.1037,,,[],7,False,False,True,
User_0210,Member,translation_offered,2020-03-30 07:22:47.106200,1585567367.1062,,,[],22,False,False,True,
User_0214,Member,translation_offered,2020-03-30 07:29:41.106700,1585567781.1067,,,[],5,False,False,True,
