"Barriers_Experience","Barriers_Experience_Binary","Barriers_Experience_Count","Barriers_Observe","Barriers_Observe_Binary","Barriers_Observe_Count","Date","Demographic_CareerStage","Demographic_Language","Demographic_PrimaryField","Demographic_Role","Map_Country_ISO3","Map_Country_Standard","Participation_Collaboration","Participation_Consortium","Participation_Formed_Collaboration","Participation_Information_Source","Participation_Interaction","Structural_Country","Structural_Institution"
"None","No",0,"None_observed","No",0,2022-01-26,"Late","EFL","LifeSciences","Leader","USA","United States","New_Unknown","Active","Project","Slack","New_Unknown","USA","ResearchOnly"
"Time, Time_Zone","Yes",2,"Time, Time_Zone","Yes",2,2022-01-26,"Early","ESL","SocialSciences","Member","NLD","Netherlands","New_Unknown","Active","Project","Slack","New_Unknown","Netherlands","Academic"
"Time","Yes",1,"None_observed","No",0,2022-01-26,"Late","EFL","LifeSciences","Member","GBR","United Kingdom","New_Unknown","Passive","Messaged","Other","New_Unknown","UK","Academic"
"Time, Time_Zone","Yes",2,"None_observed","No",0,2022-01-26,"Early","ESL","SocialSciences","Member","FRA","France","New_Unknown","Passive","Unable_To_Form","Newsletter","New_Unknown","France","Academic"
"Time_Zone","Yes",1,"None_observed","No",0,2022-01-26,"Early","ESL","LifeSciences","Leader","AUS","Australia","New_Unknown","Both","Project","Slack","New_Unknown","Australia","Academic"
"Time","Yes",1,"None_observed","No",0,2022-01-26,"Early","ESL","SocialSciences","Member","ITA","Italy","Network","Active","Consortium_Paper","Slack","Network","Italy","Academic"
"None","No",0,"None_observed","No",0,2022-01-26,"Late","ESL","LifeSciences","Member","ESP","Spain","Network","Passive","Solicited","Slack","Network","spain","Academic"
"None","No",0,"None_observed","No",0,2022-01-26,"Late","ESL","Clinical","Leader","ITA","Italy","New_Known","Active","Project","Slack","New_Known","Italy","Medical"
"None","No",0,"Time","Yes",1,2022-01-26,"Middle","ESL","SocialSciences","Leader","USA","United States","New_Unknown","Active","Messaged","Slack","New_Known","United States","Nonprofit"
"Time","Yes",1,"None_observed","No",0,2022-01-26,"Late","ESL","SocialSciences","Member","FIN","Finland","Network","Passive","Unable_To_Form","Newsletter","Network","Finland","Academic"
"Language","Yes",1,"None_observed","No",0,2022-01-26,"Early","ESL","Clinical","Member","BEL","Belgium","Network","Passive","Messaged","Slack","New_Unknown","Belgium","Freelance"
"None","No",0,"None_observed","No",0,2022-01-26,"Middle","ESL","Clinical","Member","DNK","Denmark","New_Known","Active","Consortium_Paper","Slack","New_Unknown","Denmark","Medical"
"None","No",0,"Language, Time_Zone","Yes",2,2022-01-26,"Late","ESL","LifeSciences","Leader","USA","United States","New_Unknown","Active","Project","Slack","New_Unknown","USA","Academic"
"None","No",0,"None_observed","No",0,2022-01-26,"Late","ESL","LifeSciences","Member","ITA","Italy","Network","","Unable_To_Form","Newsletter","Network","italy","Academic"
"Time","Yes",1,"None_observed","No",0,2022-01-26,"Late","ESL","LifeSciences","Member","FRA","France","New_Known","Passive","Project","Newsletter","Network","FRANCE","Academic"
"Age, Time","Yes",2,"Language, Age, Time, Time_Zone","Yes",4,2022-01-26,"Early","EFL","LifeSciences","Member","USA","United States","Network","Active","Consortium_Paper","Slack","New_Unknown","USA","Academic"
"None","No",0,"None_observed","No",0,2022-01-26,"Middle","Other","LifeSciences","Member","USA","United States","New_Known","Passive","Messaged","Slack","New_Known","USA","Academic"
"Time","Yes",1,"Time","Yes",1,2022-01-26,"Early","ESL","SocialSciences","Member","DEU","Germany","New_Unknown","Active","Project","Slack","New_Unknown","Germany","Academic"
"Time","Yes",1,"None_observed","No",0,2022-01-26,"Early","EFL","LifeSciences","Member","IRL","Ireland","New_Unknown","Active","Project","Newsletter","New_Known","Ireland","Academic"
"Time","Yes",1,"None_observed","No",0,2022-01-26,"Late","EFL","SocialSciences","Member","USA","United States","Network","Passive","Unable_To_Form","Newsletter","Network","USA","Academic"
"None","No",0,"None_observed","No",0,2022-01-26,"Late","EFL","LifeSciences","Member","USA","United States","Network","Passive","Unable_To_Form","Other","Network","USA","Academic"
"Time_Zone","Yes",1,"Time","Yes",1,2022-01-26,"Late","ESL","Clinical","Leader","ITA","Italy","New_Unknown","Active","Consortium_Paper","Slack","New_Unknown","italy","Academic"
