"Barriers_Experience_Binary","Barriers_Experience_Count","Barriers_Observe_Binary","Barriers_Observe_Count","Demographic_CareerStage","Demographic_Language","Demographic_Role","Participation_Collaboration","Participation_Consortium","Participation_Formed_Collaboration","Participation_Information_Source","Participation_Interaction","Structural_Institution"
"No",0,"No",0,"Late","EFL","Leader","New_Unknown","Active","Project","Slack","New_Unknown","ResearchOnly"
"Yes",2,"Yes",2,"Early","ESL","Member","New_Unknown","Active","Project","Slack","New_Unknown","Academic"
"Yes",1,"No",0,"Late","EFL","Member","New_Unknown","Passive","Messaged","Other","New_Unknown","Academic"
"Yes",2,"No",0,"Early","ESL","Member","New_Unknown","Passive","Unable_To_Form","Newsletter","New_Unknown","Academic"
"Yes",1,"No",0,"Early","ESL","Leader","New_Unknown","Both","Project","Slack","New_Unknown","Academic"
"Yes",1,"No",0,"Early","ESL","Member","Network","Active","Consortium_Paper","Slack","Network","Academic"
"No",0,"No",0,"Late","ESL","Member","Network","Passive","Solicited","Slack","Network","Academic"
"No",0,"No",0,"Late","ESL","Leader","New_Known","Active","Project","Slack","New_Known","Medical"
"No",0,"Yes",1,"Middle","ESL","Leader","New_Unknown","Active","Messaged","Slack","New_Known","Nonprofit"
"Yes",1,"No",0,"Late","ESL","Member","Network","Passive","Unable_To_Form","Newsletter","Network","Academic"
"Yes",1,"No",0,"Early","ESL","Member","Network","Passive","Messaged","Slack","New_Unknown","Freelance"
"No",0,"No",0,"Middle","ESL","Member","New_Known","Active","Consortium_Paper","Slack","New_Unknown","Medical"
"No",0,"Yes",2,"Late","ESL","Leader","New_Unknown","Active","Project","Slack","New_Unknown","Academic"
"No",0,"No",0,"Late","ESL","Member","Network","","Unable_To_Form","Newsletter","Network","Academic"
"Yes",1,"No",0,"Late","ESL","Member","New_Known","Passive","Project","Newsletter","Network","Academic"
"Yes",2,"Yes",4,"Early","EFL","Member","Network","Active","Consortium_Paper","Slack","New_Unknown","Academic"
"No",0,"No",0,"Middle","Other","Member","New_Known","Passive","Messaged","Slack","New_Known","Academic"
"Yes",1,"Yes",1,"Early","ESL","Member","New_Unknown","Active","Project","Slack","New_Unknown","Academic"
"Yes",1,"No",0,"Early","EFL","Member","New_Unknown","Active","Project","Newsletter","New_Known","Academic"
"Yes",1,"No",0,"Late","EFL","Member","Network","Passive","Unable_To_Form","Newsletter","Network","Academic"
"No",0,"No",0,"Late","EFL","Member","Network","Passive","Unable_To_Form","Other","Network","Academic"
"Yes",1,"Yes",1,"Late","ESL","Leader","New_Unknown","Active","Consortium_Paper","Slack","New_Unknown","Academic"
"No",0,"No",0,"Middle","ESL","Member","Network","Passive","Unable_To_Form","Newsletter","Network","Academic"
"Yes",1,"No",0,"Late","EFL","Leader","New_Unknown","Active","Messaged","Newsletter","New_Unknown","Freelance"
"Yes",1,"No",0,"Late","ESL","Member","New_Unknown","Passive","Project","Other","New_Unknown","Enterprise"
"No",0,"No",0,"Middle","ESL","Member","Network","Passive","Project","Slack","Network","Academic"
"Yes",2,"No",0,"Middle","ESL","Member","Network","Passive","Project","Slack","Network","Academic"
"No",0,"No",0,"Early","Other","Leader","New_Unknown","Passive","Unable_To_Form","Newsletter","Network","Freelance"
"No",0,"No",0,"Late","ESL","Member","New_Known","Passive","Unable_To_Form","Other","Network","Academic"
"Yes",3,"No",0,"Late","ESL","Member","Network","Passive","Messaged","Other","Network","Academic"
"Yes",1,"No",0,"Early","ESL","Leader","New_Unknown","Active","Consortium_Paper","Slack","New_Unknown","Academic"
"Yes",1,"No",0,"Late","EFL","Member","Network","Passive","Unable_To_Form","Other","Network","Academic"
"No",0,"No",0,"Late","EFL","Member","Network","Passive","Unable_To_Form","Newsletter","Network","Enterprise"
"No",0,"Yes",1,"Middle","Other","Member","New_Unknown","Active","Messaged","Slack","New_Unknown","Medical"
"No",0,"No",0,"Late","Other","Leader","New_Unknown","Active","Consortium_Paper","Slack","New_Known","ResearchOnly"
"No",0,"No",0,"Middle","ESL","Leader","Network","Both","Consortium_Paper","Other","New_Unknown","Academic"
"No",0,"No",0,"Late","EFL","Member","Network","Both","Messaged","Slack","New_Unknown","Academic"
"No",0,"No",0,"Middle","ESL","Leader","New_Known","Passive","Project","Newsletter","New_Known","Academic"
