"Description","Results"
"MAIN INFORMATION ABOUT DATA",""
"Timespan","1994:2022"
"Sources (Journals, Books, etc)","321"
"Documents","402"
"Annual Growth Rate %","14.74"
"Document Average Age","8.39"
"Average citations per doc","12.31"
"Average citations per year per doc","0.9229"
"References","1"
"DOCUMENT TYPES",""
"article","299"
"article; early access","30"
"article; proceedings paper","7"
"book review","1"
"editorial material","20"
"meeting abstract","1"
"news item","6"
"proceedings paper","19"
"review","17"
"review; early access","2"
"DOCUMENT CONTENTS",""
"Keywords Plus (ID)","811"
"Author's Keywords (DE)","1208"
"AUTHORS",""
"Authors","1436"
"Author Appearances","1490"
"Authors of single-authored docs","92"
"AUTHORS COLLABORATION",""
"Single-authored docs","99"
"Documents per Author","0.28"
"Co-Authors per Doc","3.71"
"International co-authorships %","16.17"
"",""
